date,negative,neutral,positive
2016-01-01,32,21,47
2016-01-02,20,6,74
2016-01-03,19,12,69
2016-01-04,27,18,55
2016-01-05,19,26,55
2016-01-06,12,22,66
2016-01-07,18,21,61
2016-01-08,23,16,61
2016-01-09,14,17,69
2016-01-10,30,12,58
2016-01-11,21,12,67
2016-01-12,18,19,63
2016-01-13,15,23,62
2016-01-14,13,20,67
2016-01-15,21,16,63
2016-01-16,23,16,61
2016-01-17,30,13,57
2016-01-18,24,17,59
2016-01-19,18,18,64
2016-01-20,16,20,64
2016-01-21,15,21,64
2016-01-22,16,19,65
2016-01-23,28,15,57
2016-01-24,18,13,69
2016-01-25,17,13,70
2016-01-26,25,21,54
2016-01-27,19,29,52
2016-01-28,27,15,58
2016-01-29,12,27,61
2016-01-30,26,21,53
2016-01-31,17,21,62
2016-02-01,14,25,61
2016-02-02,18,21,61
2016-02-03,8,31,61
2016-02-04,26,21,53
2016-02-05,26,24,50
2016-02-06,33,17,50
2016-02-07,27,9,64
2016-02-08,20,17,63
2016-02-09,30,21,49
2016-02-10,25,17,58
2016-02-11,15,23,62
2016-02-12,18,24,58
2016-02-13,23,16,61
2016-02-14,27,13,60
2016-02-15,14,21,65
2016-02-16,22,14,64
2016-02-17,22,22,56
2016-02-18,16,30,54
2016-02-19,23,15,62
2016-02-20,26,20,54
2016-02-21,24,9,67
2016-02-22,18,26,56
2016-02-23,20,13,67
2016-02-24,26,17,57
2016-02-25,21,18,61
2016-02-26,27,22,51
2016-02-27,29,13,58
2016-02-28,18,14,68
2016-02-29,26,11,63
2016-03-01,24,19,57
2016-03-02,26,13,61
2016-03-03,19,18,63
2016-03-04,21,27,52
2016-03-05,27,19,54
2016-03-06,23,15,62
2016-03-07,15,16,69
2016-03-08,23,27,50
2016-03-09,17,22,61
2016-03-10,16,23,61
2016-03-11,31,16,53
2016-03-12,20,16,64
2016-03-13,20,19,61
2016-03-14,26,18,56
2016-03-15,18,35,47
2016-03-16,26,16,58
2016-03-17,20,25,55
2016-03-18,25,15,60
2016-03-19,22,20,58
2016-03-20,25,17,58
2016-03-21,21,16,63
2016-03-22,15,25,60
2016-03-23,16,26,58
2016-03-24,26,19,55
2016-03-25,27,22,51
2016-03-26,19,25,56
2016-03-27,25,12,63
2016-03-28,25,23,52
2016-03-29,20,26,54
2016-03-30,19,14,67
2016-03-31,14,17,69
2016-04-01,35,12,53
2016-04-02,28,14,58
2016-04-03,21,11,68
2016-04-04,15,20,65
2016-04-05,28,16,56
2016-04-06,25,8,67
2016-04-07,19,13,68
2016-04-08,22,15,63
2016-04-09,27,15,58
2016-04-10,26,14,60
2016-04-11,19,11,70
2016-04-12,24,20,56
2016-04-13,18,26,56
2016-04-14,21,15,64
2016-04-15,36,13,51
2016-04-16,23,18,59
2016-04-17,19,21,60
2016-04-18,27,12,61
2016-04-19,25,21,54
2016-04-20,22,19,59
2016-04-21,25,18,57
2016-04-22,19,17,64
2016-04-23,28,16,56
2016-04-24,20,20,60
2016-04-25,25,11,64
2016-04-26,24,20,56
2016-04-27,19,15,66
2016-04-28,20,22,58
2016-04-29,21,21,58
2016-04-30,27,7,66
2016-05-01,13,8,79
2016-05-02,23,19,58
2016-05-03,17,23,60
2016-05-04,19,21,60
2016-05-05,21,22,57
2016-05-06,25,21,54
2016-05-07,25,21,54
2016-05-08,29,13,58
2016-05-09,15,19,66
2016-05-10,29,21,50
2016-05-11,25,19,56
2016-05-12,18,23,59
2016-05-13,19,23,58
2016-05-14,21,14,65
2016-05-15,29,21,50
2016-05-16,19,18,63
2016-05-17,18,19,63
2016-05-18,7,55,38
2016-05-19,12,38,50
2016-05-20,13,46,41
2016-05-21,24,19,57
2016-05-22,20,22,58
2016-05-23,19,22,59
2016-05-24,22,21,57
2016-05-25,20,26,54
2016-05-26,22,14,64
2016-05-27,24,19,57
2016-05-28,22,14,64
2016-05-29,25,6,69
2016-05-30,23,17,60
2016-05-31,25,20,55
2016-06-01,13,27,60
2016-06-02,28,29,43
2016-06-03,19,19,62
2016-06-04,17,16,67
2016-06-05,27,11,62
2016-06-06,30,17,53
2016-06-07,22,22,56
2016-06-08,18,23,59
2016-06-09,12,43,45
2016-06-10,25,26,49
2016-06-11,35,14,51
2016-06-12,24,18,58
2016-06-13,22,14,64
2016-06-14,17,32,51
2016-06-15,24,20,56
2016-06-16,21,21,58
2016-06-17,19,24,57
2016-06-18,23,14,63
2016-06-19,21,22,57
2016-06-20,24,19,57
2016-06-21,19,15,66
2016-06-22,21,20,59
2016-06-23,27,20,53
2016-06-24,32,23,45
2016-06-25,26,17,57
2016-06-26,25,16,59
2016-06-27,12,46,42
2016-06-28,31,20,49
2016-06-29,25,11,64
2016-06-30,19,25,56
2016-07-01,21,13,66
2016-07-02,18,14,68
2016-07-03,24,15,61
2016-07-04,24,16,60
2016-07-05,20,17,63
2016-07-06,26,22,52
2016-07-07,18,18,64
2016-07-08,19,13,68
2016-07-09,25,14,61
2016-07-10,21,13,66
2016-07-11,16,20,64
2016-07-12,12,24,64
2016-07-13,24,11,65
2016-07-14,24,30,46
2016-07-15,21,15,64
2016-07-16,22,10,68
2016-07-17,23,22,55
2016-07-18,21,11,68
2016-07-19,27,19,54
2016-07-20,17,26,57
2016-07-21,15,12,73
2016-07-22,22,22,56
2016-07-23,18,8,74
2016-07-24,23,10,67
2016-07-25,15,18,67
2016-07-26,32,10,58
2016-07-27,12,26,62
2016-07-28,25,13,62
2016-07-29,22,17,61
2016-07-30,23,13,64
2016-07-31,26,13,61
2016-08-01,16,16,68
2016-08-02,19,27,54
2016-08-03,17,22,61
2016-08-04,28,15,57
2016-08-05,21,20,59
2016-08-06,16,20,64
2016-08-07,31,12,57
2016-08-08,21,18,61
2016-08-09,29,8,63
2016-08-10,23,19,58
2016-08-11,28,18,54
2016-08-12,31,11,58
2016-08-13,22,14,64
2016-08-14,28,9,63
2016-08-15,24,22,54
2016-08-16,20,16,64
2016-08-17,33,16,51
2016-08-18,26,13,61
2016-08-19,34,20,46
2016-08-20,27,21,52
2016-08-21,23,11,66
2016-08-22,24,19,57
2016-08-23,32,21,47
2016-08-24,19,24,57
2016-08-25,24,13,63
2016-08-26,24,7,69
2016-08-27,24,10,66
2016-08-28,25,16,59
2016-08-29,19,26,55
2016-08-30,18,23,59
2016-08-31,28,19,53
2016-09-01,16,17,67
2016-09-02,24,20,56
2016-09-03,22,16,62
2016-09-04,19,18,63
2016-09-05,23,17,60
2016-09-06,24,24,52
2016-09-07,17,15,68
2016-09-08,27,13,60
2016-09-09,30,13,57
2016-09-10,19,20,61
2016-09-11,23,15,62
2016-09-12,21,27,52
2016-09-13,20,20,60
2016-09-14,17,18,65
2016-09-15,15,28,57
2016-09-16,18,19,63
2016-09-17,33,13,54
2016-09-18,24,14,62
2016-09-19,20,14,66
2016-09-20,28,13,59
2016-09-21,25,32,43
2016-09-22,24,28,48
2016-09-23,20,25,55
2016-09-24,21,20,59
2016-09-25,24,13,63
2016-09-26,24,22,54
2016-09-27,27,16,57
2016-09-28,16,22,62
2016-09-29,24,24,52
2016-09-30,11,19,70
2016-10-01,29,15,56
2016-10-02,20,11,69
2016-10-03,21,22,57
2016-10-04,10,51,39
2016-10-05,19,25,56
2016-10-06,22,19,59
2016-10-07,19,32,49
2016-10-08,24,16,60
2016-10-09,26,18,56
2016-10-10,20,25,55
2016-10-11,27,19,54
2016-10-12,14,17,69
2016-10-13,20,24,56
2016-10-14,23,19,58
2016-10-15,20,21,59
2016-10-16,21,18,61
2016-10-17,21,20,59
2016-10-18,23,22,55
2016-10-19,15,24,61
2016-10-20,15,25,60
2016-10-21,28,17,55
2016-10-22,30,20,50
2016-10-23,26,14,60
2016-10-24,23,20,57
2016-10-25,24,23,53
2016-10-26,21,24,55
2016-10-27,11,18,71
2016-10-28,20,28,52
2016-10-29,23,15,62
2016-10-30,30,17,53
2016-10-31,21,25,54
2016-11-01,21,32,47
2016-11-02,18,30,52
2016-11-03,23,28,49
2016-11-04,21,24,55
2016-11-05,16,23,61
2016-11-06,20,17,63
2016-11-07,16,20,64
2016-11-08,27,16,57
2016-11-09,20,27,53
2016-11-10,21,26,53
2016-11-11,24,13,63
2016-11-12,28,17,55
2016-11-13,18,20,62
2016-11-14,35,15,50
2016-11-15,15,37,48
2016-11-16,29,29,42
2016-11-17,21,29,50
2016-11-18,27,11,62
2016-11-19,20,20,60
2016-11-20,22,27,51
2016-11-21,16,22,62
2016-11-22,23,29,48
2016-11-23,21,20,59
2016-11-24,24,16,60
2016-11-25,27,14,59
2016-11-26,24,25,51
2016-11-27,18,17,65
2016-11-28,15,28,57
2016-11-29,17,23,60
2016-11-30,17,25,58
2016-12-01,25,19,56
2016-12-02,17,24,59
2016-12-03,23,18,59
2016-12-04,16,18,66
2016-12-05,23,14,63
2016-12-06,14,14,72
2016-12-07,11,34,55
2016-12-08,22,20,58
2016-12-09,22,26,52
2016-12-10,24,15,61
2016-12-11,16,14,70
2016-12-12,16,23,61
2016-12-13,22,48,30
